date,load,temperature,,
14/01/2019 22:00,1819.27,25.8,,
14/01/2019 23:00,1784.62,26.8,,
15/01/2019 0:00,1749.97,27.6,,
15/01/2019 1:00,1736.13,26.1,,
15/01/2019 2:00,1762.24,26.6,,
15/01/2019 3:00,1872.84,25.8,,
15/01/2019 4:00,1739.14,25.8,,
15/01/2019 5:00,1936.29,26.8,,
15/01/2019 6:00,1894.72,25.7,,
15/01/2019 7:00,1920.98,26.6,,
15/01/2019 8:00,1990.99,26.3,,
15/01/2019 9:00,1805.02,27.4,,
15/01/2019 10:00,1825.77,24.2,,
15/01/2019 11:00,1775.29,25.4,,
15/01/2019 12:00,1766.59,25.6,,
15/01/2019 13:00,1901.1,25.6,,
15/01/2019 14:00,1842.73,27.5,,
15/01/2019 15:00,1866.66,27.6,,
15/01/2019 16:00,1796.4,26.9,,
15/01/2019 17:00,1757.88,24.9,,
15/01/2019 18:00,1942.86,26.2,,
15/01/2019 19:00,1792.69,26.8,,
15/01/2019 20:00,1916.48,26.7,,
15/01/2019 21:00,1775.29,27.4,,
15/01/2019 22:00,1777.47,28.4,,
15/01/2019 23:00,1816.07,27,,
16/01/2019 0:00,1832.99,27.9,,
16/01/2019 1:00,1802.26,26.2,,
16/01/2019 2:00,1857.14,25.9,,
16/01/2019 3:00,1806.65,26,,
16/01/2019 4:00,1811.04,25.6,,
16/01/2019 5:00,1830.8,25.8,,
16/01/2019 6:00,1747.38,26.8,,
16/01/2019 7:00,1864.15,27.6,,
16/01/2019 8:00,1805.14,26.1,,
16/01/2019 9:00,1851.03,26.6,,
16/01/2019 10:00,1819.82,25.8,,
16/01/2019 11:00,1808.84,25.8,,
16/01/2019 12:00,1819.82,26.8,,
16/01/2019 13:00,1721.04,25.7,,
16/01/2019 14:00,1800.06,26.6,,
16/01/2019 15:00,1771.53,26.3,,
16/01/2019 16:00,1760.55,27.4,,
16/01/2019 17:00,1790.44,24.2,,
16/01/2019 18:00,1676.51,25.4,,
16/01/2019 19:00,1803.69,25.6,,
16/01/2019 20:00,1854.47,25.6,,
16/01/2019 21:00,1894.21,27.5,,
16/01/2019 22:00,1829.52,27.6,,
16/01/2019 23:00,1860.57,26.9,,
17/01/2019 0:00,1820.65,24.9,,
17/01/2019 1:00,1789.6,26.2,,
17/01/2019 2:00,1811.78,26.8,,
17/01/2019 3:00,1767.43,26.7,,
17/01/2019 4:00,1786.03,27.4,,
17/01/2019 5:00,1760.77,28.4,,
17/01/2019 6:00,1756.04,27,,
17/01/2019 7:00,1846.15,27.9,,
17/01/2019 8:00,1767.03,26.2,,
17/01/2019 9:00,1736.26,25.9,,
17/01/2019 10:00,1773.62,26,,
17/01/2019 11:00,1791.21,25.6,,
17/01/2019 12:00,1929.67,25.8,,
17/01/2019 13:00,1764.83,26.8,,
17/01/2019 14:00,1927.47,27.6,,
17/01/2019 15:00,1854.94,26.1,,
17/01/2019 16:00,1824.17,26.6,,
17/01/2019 17:00,1854.94,25.8,,
17/01/2019 18:00,1808.79,25.8,,
17/01/2019 19:00,1752.91,26.8,,
17/01/2019 20:00,1702.14,25.7,,
17/01/2019 21:00,1737.46,26.6,,
17/01/2019 22:00,1803.69,26.3,,
17/01/2019 23:00,1867.71,27.4,,
18/01/2019 0:00,1785.47,24.2,,
18/01/2019 1:00,1782.5,25.4,,
18/01/2019 2:00,1740.79,25.6,,
18/01/2019 3:00,1761.43,25.6,,
18/01/2019 4:00,1770.17,27.5,,
18/01/2019 5:00,1764.94,27.6,,
18/01/2019 6:00,1842.29,26.9,,
18/01/2019 7:00,1781.1,24.9,,
18/01/2019 8:00,1695.87,26.2,,
18/01/2019 9:00,1717.72,26.8,,
18/01/2019 10:00,1763.62,26.7,,
18/01/2019 11:00,1754.88,27.4,,
18/01/2019 12:00,1698.06,28.4,,
18/01/2019 13:00,1725.81,27,,
18/01/2019 14:00,1598.65,27.9,,
18/01/2019 15:00,1647.76,26.2,,
18/01/2019 16:00,1669.44,25.9,,
18/01/2019 17:00,1675.94,26,,
18/01/2019 18:00,1707.55,25.6,,
18/01/2019 19:00,1608.38,25.8,,
18/01/2019 20:00,1639.51,26.8,,
18/01/2019 21:00,1649.34,27.6,,
18/01/2019 22:00,1650.34,26.1,,
18/01/2019 23:00,1625.62,26.6,,
19/01/2019 0:00,1624.35,25.8,,
19/01/2019 1:00,1651.5,25.8,,
19/01/2019 2:00,1626.52,26.8,,
19/01/2019 3:00,1680.66,25.7,,
19/01/2019 4:00,1642.58,26.6,,
19/01/2019 5:00,1642.21,26.3,,
19/01/2019 6:00,1620.43,27.4,,
19/01/2019 7:00,1663.99,24.2,,
19/01/2019 8:00,1646.57,25.4,,
19/01/2019 9:00,1642.21,25.6,,
19/01/2019 10:00,1620.43,25.6,,
19/01/2019 11:00,1625.61,27.5,,
19/01/2019 12:00,1664.99,27.6,,
19/01/2019 13:00,1686.87,26.9,,
19/01/2019 14:00,1658.43,24.9,,
19/01/2019 15:00,1645.3,26.2,,
19/01/2019 16:00,1634.36,26.8,,
19/01/2019 17:00,1656.24,26.7,,
19/01/2019 18:00,1668.35,27.4,,
19/01/2019 19:00,1644.39,28.4,,
19/01/2019 20:00,1655.28,27,,
19/01/2019 21:00,1694.48,27.9,,
19/01/2019 22:00,1690.13,26.2,,
19/01/2019 23:00,1696.66,25.9,,
